Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Vins Arista,Rougemont,Quebec,CANADA,2006,Y,N
Lawrence Beer Company,Lawrence,Kansas,UNITED STATES,2017,Y,N
Roosters Brewing Co,Layton,Utah,UNITED STATES,1994,Y,N
"Brasserie artisanale Le Bien, le Malt",Rimouski,Québec,CANADA,2008,Y,N
Le Lion d'Or,Sherbrooke,Québec,CANADA,1973,Y,N
MicroBrasserie Charlevoix,Baie-Saint-Paul,Québec,CANADA,1998,Y,N
Le Trèfle Noir,Rouyn-Noranda,Québec,CANADA,2009,Y,N
Upslope Brewing Company,Boulder,Colorado,UNITED STATES,2008,Y,N
Legends Brewery,Pretoria,Gauteng Province,SOUTH AFRICA,2016,Y,N
Lervig Aktiebryggeri,STAVANGER,['null'],['null'],2003,['null'],['null']
Gritty McDuff's Brewing Company,Auburn,Maine,UNITED STATES,1988,Y,N
BJ's Restaurant and Brewery,Lewisville,Texas,UNITED STATES,1978,Y,N
Twin Peaks Brewing Co.,Lewisville,Texas,UNITED STATES,2013,Y,N
McMenamins Breweries,Lincoln City,Oregon,UNITED STATES,1983,Y,N
Les 3 Brasseurs,Lille,['null'],['null'],1986,['null'],['null']
Vaskakas Sörfőzde,Győr,Győr-Moson-Sopron,HUNGARY,2016,Y,N
Appalachian Brewing Company,Lititz,Pennsylvania,UNITED STATES,1951,Y,N
Little Earth Project,Sudbury,SUFFOLK,UNITED KINGDOM,2016,Y,N
BJ's Restaurant and Brewery,Little Rock,Arkansas,UNITED STATES,1978,Y,N
Hops Grill & Brewery,Littleton,Colorado,UNITED STATES,2008,Y,Y
Lo Rez Brewing,Chicago,Illinois,UNITED STATES,2016,Y,N
Border X Brewing,San Diego,California,UNITED STATES,2013,Y,N
Les 3 Brasseurs,Lomme,['null'],['null'],1986,['null'],['null']
Lompoc Brewing,Portland,Oregon,UNITED STATES,1996,Y,N
Simmzy's Pub,Long Beach,California,UNITED STATES,2017,Y,N
Rock Bottom Restaurant & Brewery,Long Beach,California,UNITED STATES,1998,Y,N
Long Table Brewhouse,Denver,Colorado,UNITED STATES,2017,Y,N
Mountain Sun Brewery,Longmont,Colorado,UNITED STATES,1993,Y,N
Longship Brewery,San Diego,California,UNITED STATES,2016,Y,N
Look Long Brewing Company,POrtland,Oregon,UNITED STATES,2018,Y,N
Lord Hobo Brewing Company,Woburn,Massachusetts,UNITED STATES,2015,Y,N
Anheuser-Busch InBev,Van Nuys,California,UNITED STATES,1852,Y,N
Modern Times Beer,Los Angeles,California,UNITED STATES,2012,Y,N
Lost Coast Brewery,Eureka,California,UNITED STATES,1989,Y,N
Lost Coast Brewery,Eureka,California,UNITED STATES,1989,Y,N
Lost Colony Brewery,Manteo,North Carolina,UNITED STATES,2011,Y,N
Rock Bottom Restaurant & Brewery,Loveland,Colorado,UNITED STATES,1998,Y,N
Lowercase Brewing,Seattle,Washington,UNITED STATES,2013,Y,N
Lowercase Brewing,Seattle,Washington,UNITED STATES,2013,Y,N
Macedonian Thrace Brewery,Komotini,Northern Greece,GREECE,1998,Y,N
Mad Anthony Brewing,Warsaw,Indiana,UNITED STATES,1998,Y,N
Mad Anthony Brewing,Angola,Indiana,UNITED STATES,1998,Y,N
Mad Paddle Brewery,Madison,Indiana,UNITED STATES,2018,Y,N
Mad Swede Brewing Company,Boise,Idaho,UNITED STATES,2016,Y,N
Plow Brewing Company,Santa Rosa,California,UNITED STATES,2015,Y,N
Oceanside Brewing Company,Oceanside,California,UNITED STATES,2016,Y,N
Bibiana Brewing,Urbana,Illinois,UNITED STATES,1998,N,Y
Privater Brauereigasthof Adler,Herbertingen,['null'],['null'],1885,['null'],['null']
Ursula Brewery,Aurora,Colorado,UNITED STATES,2014,N,Y
Trappistenbrouwerij De Kievit,['null'],['null'],['null'],2013,['null'],['null']
Maine Beer Company,Freeport,Maine,UNITED STATES,2009,Y,N
O'Connor Brewing Company,Norfolk,Virginia,UNITED STATES,2010,Y,N
Buffalo Bayou Brewing Company,Houston,Texas,UNITED STATES,2011,Y,N
Kozy Yak Brewery,Rosholt,Wisconsin,UNITED STATES,2012,Y,N
Full Moon Brewworks,Patong,Kathu,THAILAND,2010,Y,N
Green Man Brewery,Asheville,North Carolina,UNITED STATES,1997,Y,N
Bond Brothers Beer Company,Cary,North Carolina,UNITED STATES,2016,Y,N
Yellow House Canyon Brew Works,Lubbock,Texas,UNITED STATES,2010,Y,N
Atlanta Brewing Co.,Atlanta,Georgia,UNITED STATES,1993,Y,N
Hunter Beer Co,Hunter Valley,New South Wales,AUSTRALIA,2003,Y,N
Greenbush Brewing Co,Sawyer,Michigan,UNITED STATES,2011,Y,N
