Brewery Name,City,State,Country,Year Established,In Business?,Closed?
Bus,Tampa,Florida,UNITED STATES,2011,Y,Y
Main Brewery,Bend,Oregon,UNITED STATES,2011,N,Y
Main Brewery,Fayetteville,Arkansas,UNITED STATES,2011,N,Y
Main Brewery,Garden City,Idaho,UNITED STATES,2011,N,Y
Main Brewery,Ava,Illinois,UNITED STATES,2012,N,Y
Main Brewery,Carbondale,Pennsylvania,UNITED STATES,2012,N,Y
Bravo Zulu Brewing,N Williamsburg,Michigan,UNITED STATES,2013,N,Y
Brewpub,Boulder,Colorado,UNITED STATES,2013,N,Y
Main Brewery,Lewisville,Texas,UNITED STATES,2013,N,Y
Main Brewery,Chicago,Illinois,UNITED STATES,2013,N,Y
Former Future Brewing Company,Denver,Colorado,UNITED STATES,2014,N,Y
Main Brewery,Aurora,Colorado,UNITED STATES,2014,N,Y
Main Brewery,Aurora,Colorado,UNITED STATES,2014,N,Y
Beer Army Outpost,New Bern,North Carolina,UNITED STATES,2015,N,Y
Main Brewery,Chama,New Mexico,UNITED STATES,2015,N,Y
Main Brewery,Agoura Hills,California,UNITED STATES,2015,N,Y
Main Brewery,Fremont,Michigan,UNITED STATES,2015,N,Y
Main Brewery,Woodbridge,Virginia,UNITED STATES,2015,N,Y
Main Brewery,Largo,Florida,UNITED STATES,2017,N,Y
